06:50:07  |  Core  |  Info  |  * Initialise: LanguageManager  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  30
06:50:07  |  Core  |  Info  |  LanguageManager successfully initialized  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  34
06:50:07  |  Core  |  Info  |  * Initialise: FactoryManager  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  25
06:50:07  |  Core  |  Info  |  FactoryManager successfully initialized  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  27
06:50:07  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  33
06:50:07  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  45
06:50:07  |  Core  |  Info  |  Gui successfully initialized  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_Gui.cpp  |  111
06:50:07  |  Core  |  Info  |  Load ini file 'skins.xml'  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
06:50:07  |  Core  |  Info  |  Load ini file 'core.skin'  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
06:50:07  |  Core  |  Info  |  Load ini file 'openmw_resources.xml'  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
06:50:07  |  Core  |  Info  |  Load ini file 'openmw_font.xml'  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
06:50:07  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using texture size 512 x 1024.  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
06:50:07  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using real height 51 pixels.  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  770
06:50:07  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Journalbook MonoFont' using texture size 1024 x 1024.  |  /builddir/build/BUILD/mygui-8a05127d7c5bb6772df88185b1f99d8052c379a4/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
